Date;Open;High;Low;Close;Volume;Adj;Close
2009-03-18;37;37.75;36.4;37;41300;31.55;
2009-03-17;35.9;37.7;35.5;37.5;120100;31.97;
2009-03-16;36.35;37.25;35.25;35.25;33000;30.05;
2009-03-13;36.25;37.2;35.2;36.6;124100;31.2;
2009-03-12;37.25;37.75;36.25;36.25;21200;30.91;
2009-03-09;37;37.95;35;37.25;72800;31.76;
2009-03-06;35;37.45;33.2;35.8;67900;30.52;
2009-03-05;35.6;36.35;34.9;34.9;49100;29.75;
2009-03-04;35.5;37;34.7;36.7;73100;31.29;
2009-03-03;37.75;37.8;35.7;35.7;41400;30.44;
2009-03-02;35.35;38.2;35.1;37.95;129100;32.36;
2009-02-27;38.75;38.75;35.75;35.85;165400;30.56;
2009-02-26;37.8;37.9;35.55;37.6;121900;32.06;
2009-02-25;38.9;38.9;36;36;24200;30.69;
2009-02-24;35.8;38.4;35;37.55;55300;32.01;
2009-02-20;36.9;37;35;35.8;37500;30.52;
2009-02-19;37;38.75;36.1;36.8;7400;31.37;
2009-02-18;36.6;38.75;36.55;37.05;39800;31.59;
2009-02-17;40.5;40.5;37.05;39.15;36800;33.38;
2009-02-16;40.3;40.3;38.5;38.75;13900;33.04;
2009-02-13;39.3;39.75;38;39.5;58400;33.68;
2009-02-12;36.75;38.55;36.75;38.15;115600;32.53;
2009-02-11;35.85;36.75;34;36.75;90200;31.33;
2009-02-10;34.85;35;34;35;36800;29.84;
2009-02-09;32.65;33.35;32;33.35;43600;28.43;
2009-02-06;29.5;31.8;29.5;31.8;32500;27.11;
2009-02-05;28.85;30.3;27.65;30.3;149800;25.83;
2009-02-04;29;29.7;28.1;28.1;62700;23.96;
2009-02-03;29.5;30.6;28.55;28.55;62700;24.34;
2009-02-02;29.8;31.45;29.5;30.4;42700;25.92;
2009-01-30;31;31.9;29.9;31;109100;26.43;
2009-01-29;30.75;31.8;30.25;31.1;123800;26.52;
2009-01-28;32.5;32.9;31.45;31.95;30300;27.24;
2009-01-27;34.8;34.8;31.9;33.1;70300;28.22;
2009-01-23;31.8;33.7;31.65;33.55;76100;28.6;
2009-01-22;34.45;34.45;31.65;33.3;174700;28.39;
2009-01-21;34.9;35.7;32.35;32.35;148700;27.58;
2009-01-20;32.8;34;32.7;34;33000;28.99;
2009-01-19;32.3;32.4;31.15;32.4;47600;27.62;
2009-01-16;29.05;31.05;29.05;31.05;64000;26.47;
2009-01-15;27.9;29.75;27.9;29.5;37500;25.15;
2009-01-14;29.2;29.2;27.25;29;29700;24.72;
2009-01-13;28.4;28.45;27;28.25;37100;24.09;
2009-01-12;25.8;28.1;25.75;28.1;60100;23.96;
2009-01-09;27.1;29.35;27.1;27.1;27800;23.1;
2009-01-07;28.7;28.8;26.1;28.4;71700;24.21;
2009-01-06;27.4;27.45;25.3;27.45;19200;23.4;
2009-01-05;25;26.15;24.6;26.15;18500;22.29;
2009-01-02;24.75;24.95;24.45;24.95;25100;21.27;
2009-01-01;23.55;23.8;22.2;23.8;22700;20.29;
